chr,LOD,genetic,physical,h2,effect,interval_Mb,interval_cM,LeftCI_pos,RightCI_pos,trait,pop
4,10.9,117.1,230190074,14.3,1.315,18.6,9.6,216608367,235165898,KRN,CML322
5,5,60.6,49897470,2,-0.498,22.3,4.7,38484773,60774480,KRN,CML322
5,5.2,66,73132746,5.2,-0.815,23.5,4.7,60774480,84251695,KRN,CML322
10,3.3,47.6,120824112,8,1.005,57.3,11.4,72807075,130080970,KRN,CML322
10,6.6,76.4,142189643,8.4,1.026,6.2,12.2,137499964,143674115,KRN,CML322
1,4.6,33.9,17666998,9,0.022,14,13.1,12248731,26202944,AKW,CML322
2,4.8,126.9,216686712,9.9,0.022,10.4,11.6,209497851,219860208,AKW,CML322
4,3.2,111.3,212747880,3.5,-0.015,43.4,18.1,191767453,235165898,AKW,CML322
4,3.9,92.7,180672091,5.2,14.265,13.3,18.3,173178376,186483560,KC,CML322
4,4.7,40.4,17330826,5.9,1.14,9.3,6.8,15299213,24613495,CD,CML322
4,6.6,51.4,29170943,5.5,1.134,42.5,6.1,26297333,68796507,CD,CML322
4,4,118.4,231727757,7,1.276,20.1,15.8,216608367,236701272,CD,CML322
7,3.6,69.8,134137353,8.1,-1.35,42.1,18.7,106754355,148850405,CD,CML322
8,3.4,47,18215366,6.9,1.213,58.6,15.8,14068718,72628174,CD,CML322
10,6.5,72.2,139978756,10.9,1.516,4.7,9.6,137499964,142189643,CD,CML322
4,5.3,53.4,37230464,10.4,3.358,73.9,17.1,12609493,86504397,CW,CML322
9,4.5,56.7,118454738,9.3,-2.989,39.8,12.4,88651842,128457261,CW,CML322
2,3.8,8.1,3180038,5.5,6.578,3.7,12.6,2805975,6474554,CL,CML322
1,5.3,96.5,179989172,6.3,-0.776,46.9,12.7,148627884,195557990,KRN,CML333
1,3.5,155.6,259375688,8.5,-0.877,66.2,40.9,204757929,270965149,KRN,CML333
4,6.1,108.7,201462955,9.9,0.966,42.7,10.8,186483560,229180768,KRN,CML333
10,14.1,56.1,132620909,19.5,1.372,11.8,9.6,124526091,136296385,KRN,CML333
4,3.8,109.7,201462955,5.1,8.746,35.4,15.5,199784925,235165898,TKW,CML333
7,3.3,107.2,165102982,8.7,-0.024,10,14.9,158649107,168660135,AKW,CML333
9,4.4,49.5,101476999,6.3,-0.019,25.4,6.6,88651842,114072155,AKW,CML333
4,6.2,109.7,201462955,5.7,11.924,16.8,3.3,199784925,216608367,KC,CML333
4,4.2,119.6,233627802,3.3,9.995,3.4,5.4,231727757,235165898,KC,CML333
1,3.4,124.2,213152330,8.1,-1.467,69,43.3,204259694,273305618,CD,CML333
4,4.4,92.8,180785427,5,1.14,16.4,14.8,175337176,191767453,CD,CML333
5,6.6,42.5,13721672,6.3,1.355,3.6,4.4,11502381,15138119,CD,CML333
5,4.4,65.5,70044163,8.5,1.542,76,6.5,64116507,140093904,CD,CML333
5,5.2,79.8,168673498,5.3,1.253,30.3,8.8,140093904,170416093,CD,CML333
8,8.1,69.8,135091499,11,1.711,26,8.7,119832558,145842587,CD,CML333
10,3.5,52.2,130080970,5.3,1.157,11.4,9.4,124873271,136296385,CD,CML333
10,4,63,136941040,6.5,1.282,1.2,2.5,136296385,137499964,CD,CML333
4,4.3,56.1,66909481,6.9,2.653,57.3,5.4,29170943,86504397,CW,CML333
4,3.8,61.8,149276923,6.1,2.603,72.6,11.6,86504397,159073222,CW,CML333
5,7.9,65.4,70028590,13.9,3.687,45.1,6.2,39192429,84251695,CW,CML333
10,3.2,52.2,130080970,4.6,2.247,13,12.7,124526091,137499964,CW,CML333
2,7.1,75.8,62924337,10.1,-9.764,79.7,5.1,48665321,128406788,CL,CML333
2,5.3,85.5,176727540,9.6,-9.086,9.5,2.7,173250593,182727562,CL,CML333
5,8.8,65.4,70028590,10.6,9.509,16.7,2.8,61672051,78382179,CL,CML333
7,3.6,21,2582718,1.3,-3.938,12.4,16.1,775637,13174365,CL,CML333
2,9.1,44.8,15890017,9.1,1.012,8.6,11.2,12644166,21285732,KRN,CML52
3,3.9,124.9,214279602,6.5,0.872,24.9,30.5,193609429,218484632,KRN,CML52
4,3.3,15.2,3890893,7.2,0.983,8.5,21.6,1255685,9759854,KRN,CML52
4,14.7,107.9,199076697,30.7,1.841,20.5,3.7,192205587,212747880,KRN,CML52
6,3.3,25.1,95604950,1.1,0.411,24.8,13.1,85797434,110606988,KRN,CML52
7,4,75.3,142783202,9.1,-1.046,18.1,9.8,130319590,148454268,KRN,CML52
4,4.5,101.3,187355764,10.5,15.202,47.2,16.3,184547096,231727757,TKW,CML52
1,7.2,39.5,22596124,17.4,0.033,10.8,8.7,17666998,28421841,AKW,CML52
4,5,28.9,9759854,1.8,-9.977,5.3,6.4,6601333,11916439,KC,CML52
4,5.8,81.7,173178376,14.2,1.543,9.3,10.1,171376858,180672091,CD,CML52
5,6.6,71,112928392,9.3,1.264,74,6.2,71846725,145869341,CD,CML52
1,6.3,43.2,26202944,11.8,3.308,16.3,14.4,22253283,38549611,CW,CML52
4,4.3,101.3,187355764,7.1,2.547,34.5,18.1,180785427,215267112,CW,CML52
2,5.1,44.8,15890017,7.7,-7.846,6.1,7.6,13851652,19917977,CL,CML52
6,4.5,8.8,58264144,7.7,7.799,58.4,6.2,24611553,82967445,CL,CML52
8,5,62.3,116625425,7.3,7.561,22.5,3.9,102108063,124657056,CL,CML52
10,3.3,32,13493461,3.1,5.265,67.2,15,5591691,72807075,CL,CML52
4,3.6,41.4,17330826,4.4,0.674,38.5,20,11389227,49917660,KRN,CML69
4,16.7,107.4,198078892,29.2,1.707,10.8,2.5,196513728,207265372,KRN,CML69
5,4,58.3,38484773,1.2,0.429,47.1,23.5,11502381,58602681,KRN,CML69
5,3.6,75.6,160989981,4.9,0.712,106.3,15.3,62113519,168463281,KRN,CML69
6,3.4,8.8,58264144,5.4,-0.773,64.2,11.7,31412258,95604950,KRN,CML69
10,3.3,72.2,139978756,5.4,0.743,7.4,16.7,136296385,143674115,KRN,CML69
2,4,60.9,28394927,4.8,-10.005,27,16.7,20122898,47158891,TKW,CML69
4,3.3,110.4,209799999,3.7,9.188,43.3,15.3,188385744,231727757,TKW,CML69
2,3.2,139.7,228860302,3,0.015,203.3,86.7,30906065,234211936,AKW,CML69
3,4.4,90,179994880,9.4,-0.025,13.5,8.8,173473417,187005816,AKW,CML69
5,3.8,62.3,58202730,5.6,0.02,47.2,11.1,21892861,69119630,AKW,CML69
1,3.7,91.4,161027952,9.1,1.533,182.5,88.8,102584245,285125030,CD,CML69
3,4,56.4,49148251,9.2,-1.477,104.6,20.6,9806074,114435699,CD,CML69
3,4.1,60.8,128907218,7.5,-1.337,33.2,6,114435699,147676950,CD,CML69
4,3.3,77.2,170517844,4,1.024,76.4,22.3,96807714,173210249,CD,CML69
4,4.1,97.9,184547096,1.3,0.632,13,13,175337176,188385744,CD,CML69
4,3.8,109.7,201462955,3,0.945,26.2,6.2,189042036,215267112,CD,CML69
6,5.2,8.1,38269597,10.9,-1.624,73.5,8.3,9498146,82967445,CD,CML69
5,4.5,52.8,21892861,5.3,2.33,26.4,15.4,12038114,38484773,CW,CML69
6,4.2,8.7,57538273,9.6,-3.034,83.3,12.1,9498146,92813618,CW,CML69
8,3.4,47.4,21824853,5.5,2.512,84.4,15.3,16745740,101178933,CW,CML69
2,7.5,69.4,43558423,8.9,-9.338,60.7,11.7,32447743,93130728,CL,CML69
5,4.4,39.9,12038114,3.5,6.417,6.6,8.6,8508510,15138119,CL,CML69
6,5.1,106.6,166592347,5.4,-8.999,3.1,10.7,163983562,167034073,CL,CML69
1,4.3,69.6,56076331,11.9,1.083,9.9,5.9,51291743,61143070,KRN,HP301
2,7.5,136.3,225305968,15.4,-1.194,12.2,10.8,216686712,228860302,KRN,HP301
5,5.3,53.9,24378385,7.2,0.979,19.2,11.7,14060419,33285364,KRN,HP301
9,3.7,88.4,146872890,5.4,-0.742,10.7,22.1,140774640,151478943,KRN,HP301
4,4.6,39.2,15299213,12.5,12.384,13.2,12.4,11389227,24613495,TKW,HP301
1,6.9,79.9,77242690,17.9,0.03,32.3,13,56076331,88342158,AKW,HP301
5,3.6,132.2,209682546,4.3,0.015,7.8,22.8,204909284,212682814,AKW,HP301
1,3,73.3,64239480,7.6,11.825,30.7,14.6,51291743,82019775,KC,HP301
4,4.1,39.2,15299213,14,20.658,16.1,33.2,1265191,17330826,KC,HP301
4,3.8,52.1,34017442,7.7,12.226,39,13.1,17330826,56312802,KC,HP301
1,7.7,69.1,53947111,17.7,2.042,8.9,2.1,51291743,60165124,CD,HP301
2,3.8,137.3,225305968,13.1,-1.735,20.3,26.2,213948425,234211936,CD,HP301
5,6.4,69.5,89318174,8.8,1.453,69.9,4.7,75935660,145869341,CD,HP301
2,3.2,132.4,222158973,8.1,-2.292,52.1,50.8,176727540,228860302,CW,HP301
5,4.6,58.4,39192429,10,2.744,11.4,2.1,38484773,49897470,CW,HP301
5,4.2,70,112928392,17.7,3.291,80.9,5.9,78382179,159288407,CW,HP301
1,6.4,42.7,22892866,15.8,-12.867,5.8,5.2,22596124,28421841,CL,HP301
1,4.4,123.7,212951055,8.3,-9.605,11.8,8.2,203587826,215340335,CL,HP301
6,3.7,56.3,143696195,2.2,5.701,24.5,12.1,124146768,148634319,CL,HP301
1,3.6,24.4,12248731,9.4,1.169,71,61.6,6234332,77242690,KRN,IL14H
2,4.6,67.9,40503046,14.8,1.458,17.2,5.2,34567551,51815902,KRN,IL14H
2,4.6,77.4,128406788,6.8,1.019,100.2,7.6,59764721,159987573,KRN,IL14H
2,4.9,84.2,173781914,8.1,1.084,22.7,7.1,159987573,182727562,KRN,IL14H
3,3.1,84.6,176295169,5,0.84,84.5,32,97781701,182281335,KRN,IL14H
4,8.6,110.4,209799999,10.6,1.254,23.5,5.8,191767453,215267112,KRN,IL14H
4,7.8,126.9,236111113,9.9,1.195,3.2,7.4,235165898,238320489,KRN,IL14H
5,5.2,48,16320695,14.4,1.447,8.2,7.7,13721672,21892861,KRN,IL14H
5,4.8,77.9,164727639,12.9,1.422,78.6,10.2,91814175,170416093,KRN,IL14H
7,3.5,28.4,6540311,6.3,-0.943,12.4,19,775637,13174365,KRN,IL14H
10,4.2,31,13493461,4.8,-0.872,67.5,8.9,10196798,77678052,KRN,IL14H
10,4.1,46.7,117566331,7.1,-1.024,31.4,8.2,98715751,130080970,KRN,IL14H
1,3.5,36.3,17746383,2.8,6.02,4.6,4.7,17666998,22253283,TKW,IL14H
1,3.8,47.3,28421841,6.7,9.153,10,12,22596124,32578218,TKW,IL14H
1,4.2,58.2,39219412,5,8.054,11.1,6.4,32578218,43669240,TKW,IL14H
5,5.3,59.4,39192429,3.5,6.587,25.6,4.6,33052110,58602681,TKW,IL14H
2,7.6,64.2,34700898,13.1,-0.028,14.7,5.5,32447743,47158891,AKW,IL14H
2,9.6,78.4,128406788,17.4,-0.032,93.4,4.8,60416908,153794103,AKW,IL14H
7,3.7,28.4,6540311,3.9,0.015,0.5,6,6065421,6540311,AKW,IL14H
7,3.7,39.9,13174365,4.6,0.02,44.5,14,6540311,51039765,AKW,IL14H
2,4.3,100.9,190159942,6.6,-1.314,20.2,15,176727540,196899634,CD,IL14H
4,3.8,107.9,199076697,7.4,1.36,51.6,26.1,184547096,236111113,CD,IL14H
5,4.3,50.8,20200581,11.8,1.698,15.6,9,15138119,30750567,CD,IL14H
5,4.2,58,35277086,11.3,1.664,173.9,56.8,30994484,204909284,CD,IL14H
8,5.4,50.6,24721886,8.3,1.446,84.4,15.5,16745740,101178933,CD,IL14H
8,4.5,63.3,118191641,7.3,1.345,31.1,10,101775361,132879659,CD,IL14H
4,3.7,55.2,49917660,2.8,2.613,107.6,5.3,37230464,144840177,CW,IL14H
5,3.2,48,16320695,6,2.219,11.8,12.1,11502381,23265300,CW,IL14H
5,6.5,132.2,209682546,6.8,2.559,3.5,3.5,208745928,212240868,CW,IL14H
8,3.3,80.1,147725408,1.6,1.221,39.8,18.3,113659770,153464299,CW,IL14H
2,4,132.9,222601043,9.1,9.375,16.3,17.3,212537417,228872983,CL,IL14H
4,3,54.7,37348608,2.4,7.349,160.6,44.2,6601333,167190374,CL,IL14H
5,3.4,153.3,216442657,6.9,8.09,4.2,12.4,212240868,216442657,CL,IL14H
9,3.9,46.3,86863679,5.7,7.429,82.7,12.1,18782106,101476999,CL,IL14H
9,7.5,62.9,130918999,12.1,10.605,11.7,6.2,122199747,133919472,CL,IL14H
1,5,36.3,17746383,10.5,-1.075,13.5,13.1,14959203,28421841,KRN,KI11
1,6,193.1,293795952,5.6,0.788,7.7,9.5,287728786,295427860,KRN,KI11
4,9,108.7,201462955,14,1.259,23.5,6,191767453,215267112,KRN,KI11
5,6.5,70,112928392,8,0.933,100,11.3,59271817,159288407,KRN,KI11
4,3.9,60.6,144840177,7.1,11.73,99.6,9.2,56312802,155907930,TKW,KI11
4,3.3,39.2,15299213,5.2,-0.018,144,27.9,11916439,155907930,AKW,KI11
10,3.3,44.8,111779138,4.7,14.631,45.5,13.7,87084632,132620909,KC,KI11
1,4.5,46.2,26202944,7.6,-1.4,173,72,10961962,183986082,CD,KI11
1,6.8,147.9,253029622,9.6,-1.572,18.8,10.1,238343143,257186525,CD,KI11
5,4.3,34.8,9329640,6.1,1.236,3,5.6,8508510,11502381,CD,KI11
5,4.2,45.4,15138119,5.5,1.346,6.8,8.8,11502381,18348509,CD,KI11
8,3.7,128.4,173408262,6.3,-1.264,1.5,3.4,171893959,173408262,CD,KI11
4,5.4,65,150464488,8.3,3.785,9.8,6.5,149276923,159073222,CW,KI11
2,4,90.1,182727562,4.4,-5.951,26,19.2,169540624,195523744,CL,KI11
4,4.4,58.3,123980124,8.2,8.203,124.2,12.3,26297333,150464488,CL,KI11
10,5.1,33.8,17678972,11.8,9.675,77.5,14.7,6594058,84096310,CL,KI11
1,3.6,53.7,32578218,6,0.896,27.2,19.3,22892866,50096448,KRN,KI3
4,11.5,110.6,210690738,21,1.552,23.5,4.7,197072849,220606809,KRN,KI3
3,4.6,104,198683470,9.9,11.452,13.2,5.6,187930027,201095695,TKW,KI3
1,3.9,128.6,217587466,9.9,-0.021,25.4,13.5,212951055,238343143,AKW,KI3
1,3.4,5.1,4446791,5.1,-1.204,5.2,11.7,1963154,7193713,CD,KI3
4,5.4,82.9,173306335,10.8,1.626,4,4.4,171376858,175337176,CD,KI3
4,5.4,92.8,180785427,7.2,1.364,9.2,8.6,175337176,184547096,CD,KI3
5,3.4,74.8,159288407,8.1,1.427,104.3,14,64116507,168463281,CD,KI3
7,5.4,42.9,13174365,17,4.111,15.5,5.2,6540311,22015062,CW,KI3
5,3.8,127.2,209682546,4.7,9.036,2.9,5.1,208270391,211177741,CL,KI3
6,15.4,54,138931644,29,23.576,16.1,6.5,131157670,147224252,CL,KI3
10,5,37.9,72807075,3.9,8.348,36.5,5.2,62249670,98715751,CL,KI3
2,5.6,76.3,93130728,6.7,0.843,142.2,18.1,34567551,176727540,KRN,KY21
3,8.5,103.7,197948162,10.8,1.077,14.7,7.1,187033190,201685053,KRN,KY21
4,7.5,119.6,233627802,10.7,1.085,34.6,13.5,200539283,235165898,KRN,KY21
5,4.3,56.2,30994484,4.3,0.697,25.5,3.9,24378385,49897470,KRN,KY21
5,4.2,66.8,75935660,5.3,0.788,34.4,7.5,49897470,84251695,KRN,KY21
3,4.1,44.3,12132193,5.2,-10.185,14.5,13.2,9806074,24353398,TKW,KY21
7,3.7,7,2582718,3.7,8.807,1.8,7.2,775637,2582718,TKW,KY21
7,4.9,31.4,6540311,8.4,12.911,14.9,24.4,2582718,17520294,TKW,KY21
1,3.6,146.6,251143648,7,0.022,32.9,18.6,228254601,261177751,AKW,KY21
3,8.5,92.1,180504690,12.9,-0.029,16.1,11.3,175559060,191612808,AKW,KY21
3,7.2,105,199624131,9.8,-0.026,5.2,3.5,196440788,201685053,AKW,KY21
3,5.9,44.3,12132193,3.6,-13.928,18.5,13.6,9806074,28334398,KC,KY21
7,3.4,7,2582718,3.9,14.431,1.8,7.2,775637,2582718,KC,KY21
7,3.4,26.3,6065421,8.2,24.302,10.6,21.3,2582718,13174365,KC,KY21
1,8.1,37.3,17746383,10.5,-1.425,14.9,15.7,17666998,32578218,CD,KY21
3,4.5,38.3,12132193,3.1,-0.779,2.3,6.1,9806074,12132193,CD,KY21
3,9.9,54.9,33556885,14.1,-1.578,114.5,9,21368486,135907308,CD,KY21
4,5.7,39.2,15299213,3.9,0.95,13.2,12.5,11389227,24613495,CD,KY21
5,3.4,63,60002766,6.2,1.094,52.9,14.2,20200581,73132746,CD,KY21
5,3.6,66.8,75935660,6,1.085,85.6,7.4,73132746,158686956,CD,KY21
