marker,Locus,ch,interval,cumulative,marker,,,,,,
PZA02114.1,L00565,1,0.7,69.6,m0056,,,,,,
PZB01062.3,L01181,1,1.7,70.3,m0057,,,,,,
PZA03561.1,L00830,1,0,72,m0058,,,,,,
PZA01315.1,L01074,1,0.5,72,m0059,,,,,,
PZA01476.1,L00452,1,0.8,72.5,m0060,,,,,,
PZA00294.22,L00219,1,0,73.3,m0061,,,,,,
PZA03189.4,L00776,1,1.4,73.3,m0062,,,,,,
PHM5098.25,L00120,1,5.2,74.7,m0063,,,,,,
PZA01267.3,L00410,1,1.5,79.9,m0064,,,,,,
PZA00752.1,L00320,1,1,81.4,m0065,,,,,,
PZA01135.1,L00388,1,2.2,82.4,m0066,,,,,,
PZA03240.1/2,L00789c,1,0.3,84.6,m0067,,,,,,
PZA03465.1,L00819,1,0,84.9,m0068,,,,,,
PZA00944.1/2,L00360c,1,1.7,84.9,m0069,,,,,,
PZB01235.4,L00916,1,0.7,86.6,m0070,,,,,,
PHM9418.11,L00156,1,0.6,87.3,m0071,,,,,,
PZA02763.1,L00712,1,0,87.9,m0072,,,,,,
PZA02750.3,L01142,1,0.7,87.9,m0073,,,,,,
PZA00939.1,L00356,1,0,88.6,m0074,,,,,,
PZA01254.2,L00406,1,0.5,88.6,m0075,,,,,,
PZA02070.1,L00558,1,0.2,89.1,m0076,,,,,,
csu1138.3/4,L00007c,1,0.3,89.3,m0077,,,,,,
PZA02577.1,L00673,1,0.1,89.6,m0078,,,,,,
PZA03200.2,L01159,1,1.7,89.7,m0079,,,,,,
PZA02741.1,L00708,1,0.6,91.4,m0080,,,,,,
PZA02135.2,L00572,1,2.9,92,m0081,,,,,,
an1.5,L00003,1,1.6,94.9,m0082,,,,,,
PZA00455.14/16,L01031c,1,1.2,96.5,m0083,,,,,,
PZA02191.1,L00585,1,0.7,97.7,m0084,,,,,,
PHM1968.22,L00066,1,0.8,98.4,m0085,,,,,,
PZA00068.1,L00172,1,0.1,99.2,m0086,,,,,,
PZA03531.1,L00825,1,9.1,99.3,m0087,,,,,,
PZA00619.3,L00294,1,1.5,108.4,m0088,,,,,,
PZA02467.10,L00651,1,5.1,109.9,m0089,,,,,,
PZA03074.27,L00755,1,1.2,115,m0090,,,,,,
PZA01216.1,L00401,1,0.2,116.2,m0091,,,,,,
PZA00131.15,L00187,1,0,116.4,m0092,,,,,,
PZA01963.15,L01103,1,0.1,116.4,m0093,,,,,,
PHM5480.17,L00129,1,0,116.5,m0094,,,,,,
PZA01391.1,L00438,1,3.8,116.5,m0095,,,,,,
PZA01019.1,L00368,1,3.4,120.3,m0096,,,,,,
PZA03194.1,L00780,1,0,123.7,m0097,,,,,,
PZA03193.2,L00779,1,0,123.7,m0098,,,,,,
PHM12706.14,L00019,1,0.5,123.7,m0099,,,,,,
PZA02014.3,L00543,1,0.4,124.2,m0100,,,,,,
PZA01039.1,L00374,1,1.3,124.6,m0101,,,,,,
PZA03265.3,L00795,1,1.7,125.9,m0102,,,,,,
PHM6043.19,L00140,1,0,127.6,m0103,,,,,,
PZA03741.1,L00873,1,2.2,127.6,m0104,,,,,,
PHM15871.11,L00048,1,0,129.8,m0105,,,,,,
PHM5484.22,L00130,1,1.8,129.8,m0106,,,,,,
PZA02117.1,L00566,1,1.3,131.6,m0107,,,,,,
PZA00658.21,L00300,1,1,132.9,m0108,,,,,,
PZA02823.1,L00719,1,0.1,133.9,m0109,,,,,,
PHM2478.22,L00075,1,0,134,m0110,,,,,,
PHM4942.12,L00118,1,0.7,134,m0111,,,,,,
PZA00664.3,L00301,1,0.1,134.7,m0112,,,,,,
umc128.2,L00949,1,0.4,134.8,m0113,,,,,,
PZA02186.1,L01115,1,2.4,135.2,m0114,,,,,,
PZA03001.15,L00736,1,0,137.6,m0115,,,,,,
PZB01647.1,L00924,1,2.6,137.6,m0116,,,,,,
PZA00381.4,L00240,1,1.7,140.2,m0117,,,,,,
PZA03301.2,L00799,1,0,141.9,m0118,,,,,,
PHM4926.16,L00117,1,4.1,141.9,m0119,,,,,,
PZA03064.6,L00750,1,0.6,146,m0120,,,,,,
PHM16605.19,L00052,1,1.3,146.6,m0121,,,,,,
PZA03404.1,L00812,1,1.8,147.9,m0122,,,,,,
PZA02269.3/4,L00603c,1,2.1,149.7,m0123,,,,,,
PHM3034.3,L00082,1,0.2,151.8,m0124,,,,,,
kip1.3,L00957,1,0.4,152,m0125,,,,,,
PHM14475.7,L00037,1,1,152.4,m0126,,,,,,
glb1.2,L00956,1,2.2,153.4,m0127,,,,,,
PZA01588.1,L00465,1,0.9,155.6,m0128,,,,,,
PZA00339.4,L01022,1,0.1,156.5,m0129,,,,,,
PZA01921.20/19,L00522c,1,0.5,156.6,m0130,,,,,,
PHM5526.25,L00132,1,0.5,157.1,m0131,,,,,,
PZA02985.5,L00734,1,0.1,157.6,m0132,,,,,,
PZA03457.1,L00816,1,4.5,157.7,m0133,,,,,,
PZB00008.1,L01174,1,0,162.2,m0134,,,,,,
PZB00895.1,L00899,1,0,162.2,m0135,,,,,,
PZB00063.1,L01175,1,0.6,162.2,m0136,,,,,,
PZA02278.1,L00607,1,1.8,162.8,m0137,,,,,,
PZA02698.3,L00699,1,3.2,164.6,m0138,,,,,,
PZA00030.11,L00165,1,0,167.8,m0139,,,,,,
PZA02520.1,L00662,1,1.3,167.8,m0140,,,,,,
PZB00114.1,L00884,1,0.1,169.1,m0141,,,,,,
PZA01978.23,L00535,1,2.2,169.2,m0142,,,,,,
PZA02204.1,L00588,1,3.2,171.4,m0143,,,,,,
PZA00610.16,L01039,1,1.1,174.6,m0144,,,,,,
PZA03188.3,L00775,1,1.2,175.7,m0145,,,,,,
PZA02957.5,L01149,1,0,176.9,m0146,,,,,,
PZA03020.8,L01153,1,0.6,176.9,m0147,,,,,,
PZA00978.1,L01057,1,0.9,177.5,m0148,,,,,,
PZA01246.1,L01071,1,0.1,178.4,m0149,,,,,,
PZA02087.2,L01109,1,0.6,178.5,m0150,,,,,,
PZA00245.20,L00210,1,0.3,179.1,m0151,,,,,,
PHM18705.23,L00060,1,0.6,179.4,m0152,,,,,,
PZB01403.1,L00920,1,0.9,180,m0153,,,,,,
PZA00894.7,L00348,1,0.4,180.9,m0154,,,,,,
PZA03037.2,L00742,1,0.6,181.3,m0155,,,,,,
PZA03305.7/1,L00801c,1,3.1,181.9,m0156,,,,,,
PZB01227.6,L01182,1,3.2,185,m0157,,,,,,
PZA02044.1,L00553,1,3.3,188.2,m0158,,,,,,
PZA00307.14,L00222,1,0.2,191.5,m0159,,,,,,
PZA00276.18,L00217,1,0.8,191.7,m0160,,,,,,
PZA00991.2,L00366,1,0.6,192.5,m0161,,,,,,
PZA00235.9,L00208,1,0.7,193.1,m0162,,,,,,
PZA00623.3,L00295,1,0.2,193.8,m0163,,,,,,
PZA02359.10,L00619,1,2.5,194,m0164,,,,,,
PHM9807.9,L00158,1,0.3,196.5,m0165,,,,,,
PZA01238.1/2,L01069c,1,0.1,196.8,m0166,,,,,,
PZA01068.1,L00379,1,0.3,196.9,m0167,,,,,,
PZA00343.31,L00228,1,0.8,197.2,m0168,,,,,,
PHM1275.22,L00021,1,1.4,198,m0169,,,,,,
PZA00856.2,L00341,1,0,199.4,m0170,,,,,,
PZA00243.25,L00209,1,1.6,199.4,m0171,,,,,,
PZA01239.2,L01070,1,1,201,m0172,,,,,,
PZA01807.1,L00503,1,0.2,202,m0173,,,,,,
PZA00432.4,L01027,1,0.2,202.2,m0174,,,,,,
PHM7616.35,L00143,1,----------,202.4,m0175,,,,,,
PHM5817.15,L00138,2,0,0,m0176,,,,,,
PZA00365.2,L00235,2,0,0,m0177,,,,,,
PZA00680.3,L00304,2,5.7,0,m0178,,,,,,
PHM1511.14,L00039,2,0,5.7,m0179,,,,,,
PZA02133.10,L00570,2,0,5.7,m0180,,,,,,
PHM13440.13,L00027,2,0,5.7,m0181,,,,,,
PZA00525.17,L00283,2,0.7,5.7,m0182,,,,,,
PZA02681.8,L00696,2,0,6.4,m0183,,,,,,
PZA02175.1,L00581,2,0.4,6.4,m0184,,,,,,
PZA00902.1,L01051,2,0.3,6.8,m0185,,,,,,
PZA02264.5,L01120,2,1.4,7.1,m0186,,,,,,
PZB01233.1,L01183,2,1.5,8.5,m0187,,,,,,
PZA01211.1,L01066,2,1.5,10,m0188,,,,,,
PZA00172.12,L00194,2,0,11.5,m0189,,,,,,
PZA00613.22,L00292,2,6.3,11.5,m0190,,,,,,
PZA02208.1,L00590,2,0.5,17.8,m0191,,,,,,
PZA02081.1,L00560,2,1.2,18.3,m0192,,,,,,
PZA01935.10,L00527,2,3.1,19.5,m0193,,,,,,
PZA03747.1,L00877,2,0,22.6,m0194,,,,,,
PZA03699.1,L00865,2,5,22.6,m0195,,,,,,
PZB00901.3/4,L00900c,2,0.6,27.6,m0196,,,,,,
PZA02272.3,L00605,2,1.6,28.2,m0197,,,,,,
PHM5822.15,L00139,2,6.4,29.8,m0198,,,,,,
zfl2.9,L00954,2,2.4,36.2,m0199,,,,,,
PZA00108.4,L01010,2,2,38.6,m0200,,,,,,
PZA01753.1,L00492,2,0.9,40.6,m0201,,,,,,
PZA02337.4,L00616,2,0.3,41.5,m0202,,,,,,
PZA03559.1,L00829,2,5.9,41.8,m0203,,,,,,
PZA02417.2,L00638,2,2.1,47.7,m0204,,,,,,
PZA00497.4,L00271,2,1,49.8,m0205,,,,,,
PZA03228.4,L00786,2,1.2,50.8,m0206,,,,,,
PZA03634.1,L00851,2,1.3,52,m0207,,,,,,
PHM6111.5,L00141,2,0,53.3,m0208,,,,,,
PZA00590.1,L00291,2,0.1,53.3,m0209,,,,,,
PZA01879.1,L00510,2,1.5,53.4,m0210,,,,,,
PZA03142.5,L01157,2,1.9,54.9,m0211,,,,,,
PZA02080.1,L00559,2,0,56.8,m0212,,,,,,
PHM1962.33,L00065,2,0.1,56.8,m0213,,,,,,
PZA01755.1,L00493,2,1.9,56.9,m0214,,,,,,
PZA03568.1,L00832,2,1.1,58.8,m0215,,,,,,
PZA01374.1,L00437,2,1.9,59.9,m0216,,,,,,
PHM4586.12,L00994,2,0.4,61.8,m0217,,,,,,
PZA01336.1,L00428,2,0.8,62.2,m0218,,,,,,
PZA02058.1,L01107,2,1.1,63,m0219,,,,,,
PZA02378.7,L00625,2,0.1,64.1,m0220,,,,,,
PZA01993.7,L00538,2,3.7,64.2,m0221,,,,,,
PZA02496.1,L01134,2,0,67.9,m0222,,,,,,
PHM10404.8,L00012,2,1.5,67.9,m0223,,,,,,
PZB00183.4,L01176,2,1,69.4,m0224,,,,,,
PZA02450.1,L00644,2,0.5,70.4,m0225,,,,,,
PZA01820.1,L00505,2,0.4,70.9,m0226,,,,,,
PZA02774.1,L00714,2,0.8,71.3,m0227,,,,,,
PZA03629.1,L00850,2,0,72.1,m0228,,,,,,
PZA02168.1,L00579,2,1.4,72.1,m0229,,,,,,
PZA00635.7,L00296,2,0.1,73.5,m0230,,,,,,
PZA02279.1,L01122,2,1.2,73.6,m0231,,,,,,
PHM3457.6,L00089,2,0,74.8,m0232,,,,,,
PHM10321.11,L00011,2,1.5,74.8,m0233,,,,,,
PZA01902.1,L00516,2,0.2,76.3,m0234,,,,,,
PHM13360.13,L00964,2,0,76.5,m0235,,,,,,
PHM4880.179,L00114,2,0,76.5,m0236,,,,,,
PZA02549.3,L00668,2,0.6,76.5,m0237,,,,,,
PZA00485.2,L00268,2,0.3,77.1,m0238,,,,,,
PHM3626.3,L00091,2,2.4,77.4,m0239,,,,,,
PZA02626.1,L00680,2,0,79.8,m0240,,,,,,
PZA00029.17,L00163,2,0.8,79.8,m0241,,,,,,
PZA03211.6,L01160,2,0.1,80.6,m0242,,,,,,
PZA01280.2,L00413,2,0.5,80.7,m0243,,,,,,
PZA01537.2,L00459,2,0.5,81.2,m0244,,,,,,
PZA01232.1,L01068,2,0,81.7,m0245,,,,,,
PZA02939.10,L01147,2,0.8,81.7,m0246,,,,,,
PZA02465.1,L00650,2,0.3,82.5,m0247,,,,,,
PZA01321.1,L00425,2,0.3,82.8,m0248,,,,,,
PZA02371.6,L00622,2,0.2,83.1,m0249,,,,,,
PZA03692.1,L00863,2,0.7,83.3,m0250,,,,,,
PZA01638.1,L00473,2,0,84,m0251,,,,,,
PZA00515.10,L00278,2,0,84,m0252,,,,,,
PZA00637.6,L01040,2,0,84,m0253,,,,,,
PZA00495.5,L00270,2,0.2,84,m0254,,,,,,
PZA03644.1,L01172,2,1.3,84.2,m0255,,,,,,
vdac1a.1,L01188,2,0,85.5,m0256,,,,,,
PZA03659.1,L00859,2,1.4,85.5,m0257,,,,,,
PZA00224.4,L00206,2,3.2,86.9,m0258,,,,,,
PZA03184.2,L00774,2,1.4,90.1,m0259,,,,,,
PZA01735.1,L00487,2,3.4,91.5,m0260,,,,,,
PZA00755.2,L00321,2,2.6,94.9,m0261,,,,,,
PZA03529.1,L00824,2,1.4,97.5,m0262,,,,,,
PZA02890.4,L00726,2,4.8,98.9,m0263,,,,,,
PHM3055.9,L00083,2,1.6,103.7,m0264,,,,,,
PZA00824.2,L00334,2,0.8,105.3,m0265,,,,,,
PHM3668.12,L00094,2,0.1,106.1,m0266,,,,,,
PZA02017.1,L00544,2,0.1,106.2,m0267,,,,,,
PHM7953.11,L00146,2,0.2,106.3,m0268,,,,,,
PZA00803.3,L00328,2,0.6,106.5,m0269,,,,,,
PZA02731.1,L00705,2,0.4,107.1,m0270,,,,,,
PHM16125.47,L00051,2,0.3,107.5,m0271,,,,,,
PZB01103.2,L00909,2,0.1,107.8,m0272,,,,,,
PHM14412.4,L00966,2,2,107.9,m0273,,,,,,
PZA03165.1,L00766,2,3.8,109.9,m0274,,,,,,
PZA02329.2,L01126,2,1.6,113.7,m0275,,,,,,
PZA02077.1,L01108,2,0.4,115.3,m0276,,,,,,
PZA01885.2,L00513,2,0,115.7,m0277,,,,,,
PZA00390.7,L00245,2,1.8,115.7,m0278,,,,,,
PZA02964.7,L01151,2,0,117.5,m0279,order reversed,,,,,
PZB00772.7,L00895,2,3,117.5,m0280,,,,,,
PZA03602.1,L00842,2,1.6,120.5,m0281,,,,,,
PZA02456.1,L00647,2,1.8,122.1,m0282,,,,,,
PZA00804.1,L00329,2,2,123.9,m0283,,,,,,
PZA02680.1,L00695,2,1.4,125.9,m0284,,,,,,
PZA02471.5,L01133,2,0,127.3,m0285,,,,,,
PZA02418.2,L00639,2,2.5,127.3,m0286,,,,,,
PZA00527.10,L00284,2,2.6,129.8,m0287,,,,,,
PZA02012.7,L00542,2,0.5,132.4,m0288,,,,,,
PZA02453.1,L00645,2,1.4,132.9,m0289,,,,,,
PZA00163.4,L00193,2,0,134.3,m0290,,,,,,
PZA01991.3,L00537,2,0.8,134.3,m0291,,,,,,
PZA02564.2,L00671,2,1.2,135.1,m0292,,,,,,
PZB01013.1,L00906,2,3.4,136.3,m0293,,,,,,
PZA02266.3,L01121,2,0.1,139.7,m0294,,,,,,
PZA01895.1,L00515,2,1.5,139.8,m0295,,,,,,
PZA01352.5,L00431,2,1.4,141.3,m0296,,,,,,
PZA02727.1,L00704,2,8.9,142.7,m0297,,,,,,
PZA02170.1,L01114,2,0.9,151.6,m0298,,,,,,
PHM3094.23,L00978,2,0.9,152.5,m0299,,,,,,
PZA03321.4,L00804,2,1.5,153.4,m0300,,,,,,
PZA03577.1,L00834,2,0.8,154.9,m0301,,,,,,
PZD00022.5,L00938,2,----------,155.7,m0302,,,,,,
PZA00309.1,L00224,3,15,0,m0303,,,,,,
PZA02090.1,L00561,3,3.2,15,m0304,,,,,,
PZD00038.2,L00942,3,1.9,18.2,m0305,,,,,,
PZA02678.1,L00694,3,0.4,20.1,m0306,,,,,,
PZA00100.10,L00178,3,0,20.5,m0307,,,,,,
PHM12859.7,L00023,3,2,20.5,m0308,,,,,,
PZA03527.1,L00823,3,2.9,22.5,m0309,,,,,,
PZA03212.3,L01161,3,0.3,25.4,m0310,,,,,,
PZA00749.1,L00318,3,3.2,25.7,m0311,,,,,,
PZB01944.1,L00928,3,0.8,28.9,m0312,,,,,,
PZA02098.2,L01111,3,4,29.7,m0313,,,,,,
PZA01765.1,L00495,3,4.6,33.7,m0314,,,,,,
PZA00508.2,L00275,3,0,38.3,m0315,,,,,,
PHM4204.69,L00990,3,11.9,38.3,m0316,,,,,,
PHM4145.18,L00989,3,1.9,50.2,m0317,,,,,,
PZA02427.1,L00641,3,1.3,52.1,m0318,,,,,,
PHM2343.25,L00071,3,0.9,53.4,m0319,,,,,,
PZA00210.1/9,L00198c,3,0.4,54.3,m0320,,,,,,
PZA03054.5,L00745,3,0.1,54.7,m0321,,,,,,
PZA01473.1,L00451,3,0.1,54.8,m0322,,,,,,
PZA00348.11,L00229,3,0,54.9,m0323,,,,,,
PZA02255.2,L01119,3,0.6,54.9,m0324,,,,,,
zb21.1,L00951,3,0,55.5,m0325,,,,,,
PZA00297.2,L00220,3,0,55.5,m0326,,,,,,
PZA00380.10,L00239,3,0,55.5,m0327,,,,,,
PZA01114.2,L00386,3,0,55.5,m0328,,,,,,
PHM13823.7,L00033,3,0.5,55.5,m0329,,,,,,
PZA03070.9,L00753,3,0,56,m0330,,,,,,
PHM15899.9,L00049,3,0.4,56,m0331,,,,,,
PZA00581.3,L01038,3,0.5,56.4,m0332,,,,,,
PZA00279.2,L00218,3,0.2,56.9,m0333,,,,,,
PHM15474.5,L00044,3,0,57.1,m0334,,,,,,
PZA01447.1,L00444,3,0.2,57.1,m0335,,,,,,
PZA03119.1,L00759,3,0.3,57.3,m0336,,,,,,
PZA02589.1,L00674,3,0,57.6,m0337,,,,,,
PZA00265.6,L00215,3,0.1,57.6,m0338,,,,,,
PZA00509.1,L00276,3,0.2,57.7,m0339,,,,,,
PZA02296.1,L00612,3,0,57.9,m0340,,,,,,
PZA02699.1,L00700,3,0.1,57.9,m0341,,,,,,
PZA02134.3,L00571,3,0.1,58,m0342,,,,,,
PHM5502.31,L00131,3,0.1,58.1,m0343,,,,,,
PZA02742.1,L00709,3,0.1,58.2,m0344,,,,,,
PZA02645.2,L00684,3,0.6,58.3,m0345,,,,,,
PZA00707.9,L00311,3,0.8,58.9,m0346,,,,,,
PZA02619.1,L00679,3,0.8,59.7,m0347,,,,,,
PZA03198.3,L00782,3,0.3,60.5,m0348,,,,,,
PHM15449.10,L00043,3,0,60.8,m0349,,,,,,
PZA00413.20/18,L00251c,3,0.4,60.8,m0350,,,,,,
PZA02299.16,L00613,3,0.6,61.2,m0351,,,,,,
PZA00363.7,L00234,3,0.6,61.8,m0352,,,,,,
PZD00016.4,L00937,3,0,62.4,m0353,,,,,,
PZD00015.5,L00936,3,0,62.4,m0354,,,,,,
PZB02002.1,L00930,3,1.4,62.4,m0355,,,,,,
PHM1745.16,L00055,3,0.1,63.8,m0356,,,,,,
PZA02474.1,L00654,3,0.2,63.9,m0357,,,,,,
PZA00920.1,L00353,3,1.1,64.1,m0358,,,,,,
PHM890.20,L00151,3,0.2,65.2,m0359,,,,,,
PZB02044.1,L00931,3,0.1,65.4,m0360,,,,,,
PZB02122.1,L00932,3,1.7,65.5,m0361,,,,,,
PZA01934.6,L00526,3,0,67.2,m0362,,,,,,
PHM4955.12,L00119,3,1.7,67.2,m0363,,,,,,
PZA00827.1,L00335,3,1.2,68.9,m0364,,,,,,
PZA00948.1,L00362,3,0.5,70.1,m0365,,,,,,
PZB02179.1,L00934,3,0,70.6,m0366,,,,,,
PZA00828.2,L00336,3,2.3,70.6,m0367,,,,,,
PHM9914.11,L00159,3,1.4,72.9,m0368,,,,,,
PZA00667.2,L00302,3,1.6,74.3,m0369,,,,,,
PZA01396.1,L00439,3,1.1,75.9,m0370,,,,,,
PHM4621.57,L00995,3,0,77,m0371,,,,,,
PZA00186.4,L01012,3,0.4,77,m0372,,,,,,
PHM2885.31,L00081,3,1.9,77.4,m0373,,,,,,
PZA03073.28/26,L00754c,3,0,79.3,m0374,,,,,,
PHM1959.26,L00064,3,1.5,79.3,m0375,,,,,,
PZD00027.2,L00939,3,0.2,80.8,m0376,,,,,,
PZA02402.1,L00635,3,1.1,81,m0377,,,,,,
PZA03032.19,L00740,3,0.2,82.1,m0378,,,,,,
PZA00783.1,L00325,3,1.7,82.3,m0379,,,,,,
PZA01726.1,L01093,3,0.6,84,m0380,,,,,,
PZA02212.1,L00592,3,5.4,84.6,m0381,,,,,,
PZA01962.12,L00532,3,0,90,m0382,,,,,,
PHM17210.5,L00054,3,0.1,90,m0383,,,,,,
PZA02654.3,L00687,3,2.5,90.1,m0384,,,,,,
PHM1675.29,L00053,3,0,92.6,m0385,,,,,,
PZA03733.1,L00871,3,0,92.6,m0386,,,,,,
PZA03735.1,L00872,3,4.1,92.6,m0387,,,,,,
PZA03191.1/4,L00777c,3,0,96.7,m0388,,,,,,
zb27.1,L00952,3,0.2,96.7,m0389,,,,,,
PZA03647.1,L00856,3,0.9,96.9,m0390,,,,,,
PZA00494.2,L00269,3,2.3,97.8,m0391,,,,,,
PZA01228.2,L00402,3,0.4,100.1,m0392,,,,,,
PHM824.17,L00148,3,0.1,100.5,m0393,,,,,,
PZA03743.1,L00875,3,0,100.6,m0394,,,,,,
PZA03744.1,L00876,3,0.2,100.6,m0395,,,,,,
PHM13673.53,L00030,3,0.6,100.8,m0396,,,,,,
PZA03255.1,L00794,3,1.6,101.4,m0397,,,,,,
PZB01109.1,L00910,3,0.2,103,m0398,,,,,,
PZA01035.1,L00372,3,0.5,103.2,m0399,,,,,,
PZA00308.24,L00223,3,0.3,103.7,m0400,,,,,,
PZA01457.1,L00447,3,1,104,m0401,,,,,,
PZA02122.9,L00567,3,1.3,105,m0402,,,,,,
PZA01501.1,L00455,3,1.4,106.3,m0403,,,,,,
PZA00892.5,L00347,3,1.5,107.7,m0404,,,,,,
PZA03154.4,L00764,3,2,109.2,m0405,,,,,,
PZA02733.1,L00706,3,4.6,111.2,m0406,,,,,,
PZA00538.18/15,L00286c,3,2.6,115.8,m0407,,,,,,
PZA02516.1,L00661,3,2.3,118.4,m0408,,,,,,
PZA02616.1,L01139,3,3.2,120.7,m0409,,,,,,
PZB01457.1,L00921,3,3.8,123.9,m0410,,,,,,
PZA03146.4,L00762,3,0.7,127.7,m0411,,,,,,
sh2.21,L00948,3,1.4,128.4,m0412,,,,,,
PZA00750.1,L00319,3,1.6,129.8,m0413,,,,,,
PZA01154.1,L00393,3,0,131.4,m0414,,,,,,
PHM3342.31,L00088,3,1.4,131.4,m0415,,,,,,
PZA02665.2,L00689,3,0,132.8,m0416,,,,,,
PZA01233.1,L00403,3,0,132.8,m0417,,,,,,
PZA02514.1,L00660,3,0.2,132.8,m0418,,,,,,
PZA02824.4,L00720,3,1.6,133,m0419,,,,,,
PZA02668.2,L00691,3,2.2,134.6,m0420,,,,,,
PHM2672.19,L00076,3,0,136.8,m0421,,,,,,
PZA00219.7,L00203,3,0,136.8,m0422,,,,,,
PZA03391.1,L00811,3,3.9,136.8,m0423,,,,,,
PZA00402.1,L01025,3,4.4,140.7,m0424,,,,,,
PZA00316.10,L00225,3,0.2,145.1,m0425,,,,,,
PZA01688.3,L00479,3,0,145.3,m0426,,,,,,
PHM3852.23,L00984,3,0.7,145.3,m0427,,,,,,
PZA01360.3,L00432,3,0.8,146,m0428,,,,,,
PZA02182.1,L00582,3,5.6,146.8,m0429,,,,,,
PHM2423.33,L00073,3,2.3,152.4,m0430,,,,,,
PZA00088.3,L00176,3,0.8,154.7,m0431,,,,,,
PZA02423.1,L01131,3,----------,155.5,m0432,,,,,,
PZA02509.15,L01135,4,0.1,0,m0433,,,,,,
PZA03227.1,L01162,4,7.1,0.1,m0434,,,,,,
PHM1184.26,L00959,4,5,7.2,m0435,,,,,,
PHM2438.28,L00074,4,7.2,12.2,m0436,,,,,,
PHM3301.28,L00086,4,1.9,19.4,m0437,,,,,,
PZA00436.7,L00257,4,0.7,21.3,m0438,,,,,,
PZA00683.4,L01043,4,3.9,22,m0439,,,,,,
PZA00975.1,L01056,4,5.7,25.9,m0440,,,,,,
PZA02358.1,L00618,4,2.2,31.6,m0441,,,,,,
PZA02138.1,L00573,4,0.1,33.8,m0442,,,,,,
PZA01122.1,L00387,4,5.3,33.9,m0443,,,,,,
PZA02385.6,L01130,4,1.2,39.2,m0444,,,,,,
PHM8527.2,L00150,4,3.5,40.4,m0445,,,,,,
PZA00139.4,L00189,4,3.8,43.9,m0446,,,,,,
