Row,Barcode,KC,TKW,AKW,Note.x,Hand.count,Pedigree,Genotype,Note.y,Farm,problem
J2295,11-J2295-23 OP,423,110.55,0.261347518,,NA,10g-2077-24@,B73@,B73,Johnson,duplicated
J2295,11-J2295-23 OP,421,109.79,0.260783848,,NA,10g-2077-24@,B73@,B73,Johnson,duplicated
5143,11-5143-21 OP,133,60.65,0.456015038,,133,10g-1456-29/1796,B73 x Z005E0097,B73 x [(B73 x CML277)S5 sib],Curtiss,high AKW
J1497,11-J1497-21 OP,147,67.43,0.458707483,,NA,10-5948/NAM-165,B73 x Z018E0160,B73 x [(B73 x Mo18W)S5 Sib],Johnson,high AKW
5012,11-5012-22 OP,141,65,0.460992908,,NA,09-5138-21/5450-1,B73 x Z001E0151,B73 x [(B73 x B97)S6],Curtiss,high AKW
J1905,11-J1905-21 OP,6,3.07,0.511666667,,NA,10g-1870-22@,Z002E0175@,(B73 x CML103)S6,Johnson,high AKW
J1265,11-J1265-21 OP,567,301.99,0.532610229,,NA,10g-1474-28/1615,B73 x Z019E0075,B73 x [(B73 x Ms71)S5 Sib],Johnson,high AKW
J1583,11-J1583-23 OP,33,131.24,3.976969697,,NA,10g-1459-27/1681,B73 x Z015E0071,B73 x [(B73 x M162W)S5 sib],Johnson,high AKW
5300,11-5300-23 OP,0,0,0,,NA,10NAM-533-22@,Z005E0139@,(B73 x CML277)S6,Curtiss,low AKW
J2102,11-J2102-22 OP,103.51,3.5,0.033813158,bad seeds,NA,10NAM-325-21@,Z015E0127@,(B73 x M162W)S6,Johnson,low AKW
5705,11-5705-22 OP,729,30.81,0.042263374,,NA,10-5950/NAM-51,B73 x Z018E0042,B73 x [(B73 x Mo18W)S5 Sib],Curtiss,low AKW
5866,11-5866-22 OP,190,9.16,0.048210526,,NA,10g-1674-21@,Z021E0034@,(B73 x NC358)S6,Curtiss,low AKW
J1833,11-J1833-23 OP,130,8.2,0.063076923,,NA,08NAM-557-22@,Z010E0009@,(B73 x Hp301)S6,Johnson,low AKW
J1628,11-J1628-23 OP,54,4.49,0.083148148,under developed54,NA,10NAM-1915-22@,Z016E0084@,(B73 x M37W)S6,Johnson,low AKW
5359,11-5359-22 OP,4,0.34,0.085,,NA,10g-1521-21@,Z010E0141@,(B73 x Hp301)S6,Curtiss,low AKW
J2049,11-J2049-23 OP,136,12.09,0.088897059,chaff,NA,10g-1842-21@,Z002E0152@,(B73 x CML103)S6,Johnson,low AKW
5877,11-5877-21 OP,524,46.91,0.089522901,,NA,10NAM-2133-21@,Z020E0106@,(B73 x NC350)S6,Curtiss,low AKW
5538,11-5538-23 OP,1580,143.98,0.091126582,,NA,10-5943/NAM-318,B73 x Z015E0118,B73 x [(B73 x M162W)S5 sib],Curtiss,low AKW
5887,11-5887-21 OP,393,38.54,0.098066158,,NA,10NAM-2086-22@,Z020E0057@,(B73 x NC350)S6,Curtiss,low AKW
J1292,11-J1292-21 OP,394,38.68,0.098172589,,NA,10g-1465-25/2015,B73 x Z008E0172,B73 x [(B73 x CML52)S5 Sib],Johnson,low AKW
5707,11-5707-21 OP,877,266.17,0.30350057,,NA,10-5950/NAM-62,B73 x Z018E0053,B73 x [(B73 x Mo18W)S5 Sib],Curtiss,many KC
5709,11-5709-21 OP,881,259.54,0.294597049,,NA,10-5950/NAM-74,B73 x Z018E0067,B73 x [(B73 x Mo18W)S5 Sib],Curtiss,many KC
5637,11-5637-23 OP,887,243.36,0.274363021,,NA,10-3969/NAM-1972,B73 x Z016E0144,B73 x [(B73 x M37W)S5 sib],Curtiss,many KC
5514,11-5514-23 OP,930,250.03,0.268849462,,NA,10g-1470-21/1704,B73 x Z014E0166,B73 x [(B73 x Ky21)S5 sib],Curtiss,many KC
5130,11-5130-22 OP,953,205.25,0.215372508,,NA,10g-1450-26/1758,B73 x Z005E0027,B73 x [(B73 x CML277)S5 sib],Curtiss,many KC
5538,11-5538-23 OP,1580,143.98,0.091126582,,NA,10-5943/NAM-318,B73 x Z015E0118,B73 x [(B73 x M162W)S5 sib],Curtiss,many KC
5635,11-5635-22 OP,325.72,27.6,35.01,,,,,,Curtiss,long CL
5622,11-5622-22 OP,334.73,23.9,29.13,,,,,,Curtiss,long CL
